Custodian_Identifier|Customer_Identifier|Fund_Identifier|Mark_to_Market_Value|Market_Value|Period_Date|Position_Identifier|Position_Type|Security_Identifier|Cost|YTD GL
|1|10035918|0|0|3/31/2023|1040397950||1040397950|0|0
|1|10035918|0|0|3/31/2023|1041207847||1041207847|0|0
|1|10035918|0|0|3/31/2023|1040803104||1040803104|0|0
|1|10035918|0|0|3/31/2023|1041289006||1041289006|0|0
|1|10035918|0|0|3/31/2023|1040828601||1040828601|0|0
|1|10035918|0|0|3/31/2023|1041230917||1041230917|0|0
|1|10035918|0|0|3/31/2023|1040910890||1040910890|0|0
|1|10035918|0|0|3/31/2023|1041352247||1041352247|0|0
|1|10035918|0|0|3/31/2023|1041317234||1041317234|0|0
|1|10035918|0|0|3/31/2023|1041413160||1041413160|0|0
|1|10035918|0|0|3/31/2023|1040552779||1040552779|0|0
|1|10035918|0|0|3/31/2023|1041437440|Short|1041437440|0|0
|1|10035918|0|0|3/31/2023|1040713497||1040713497|0|0
|1|10035918|0|0|3/31/2023|1041837372||1041837372|0|0
|1|10035918|0|0|3/31/2023|1040787199||1040787199|0|0
|1|10035918|0|0|3/31/2023|1040928342||1040928342|0|0
|1|10035918|0|0|3/31/2023|1041192278||1041192278|0|0
|1|10035918|0|0|3/31/2023|1041360871||1041360871|0|0
|1|10035918|0|0|3/31/2023|1040397951||1040397951|0|0
|1|10035918|0|0|3/31/2023|1040644367||1040644367|0|0
|1|10035918|0|0|3/31/2023|1040366591||1040366591|0|0
|1|10035918|0|0|3/31/2023|1040506404||1040506404|0|0
|1|10035918|0|0|3/31/2023|1040617810||1040617810|0|0
|1|10035918|0|0|3/31/2023|1040692218||1040692218|0|0
|1|10035918|0|0|3/31/2023|1040896351||1040896351|0|0
|1|10035918|0|0|3/31/2023|1040741486||1040741486|0|0
|1|10035918|0|0|3/31/2023|1040965395||1040965395|0|0
|1|10035918|0|0|3/31/2023|1040754331||1040754331|0|0
|1|10035918|0|0|3/31/2023|1041067132||1041067132|0|0
|1|10035918|0|0|3/31/2023|1040681380||1040681380|0|0
|1|10035918|0|0|3/31/2023|1041079546||1041079546|0|0
|1|10035918|0|0|3/31/2023|1040845705||1040845705|0|0
|1|10035918|0|0|3/31/2023|1041207857||1041207857|0|0
|1|10035918|0|0|3/31/2023|1040803105||1040803105|0|0
|1|10035918|0|0|3/31/2023|1041123765||1041123765|0|0
|1|10035918|0|0|3/31/2023|1040858704||1040858704|0|0
|1|10035918|0|0|3/31/2023|1041226564||1041226564|0|0
|1|10035918|0|0|3/31/2023|1041157697||1041157697|0|0
|1|10035918|0|0|3/31/2023|1041382258||1041382258|0|0
|1|10035918|0|0|3/31/2023|1040928332||1040928332|0|0
|1|10035918|0|0|3/31/2023|1041230907||1041230907|0|0
|1|10035918|0|0|3/31/2023|1040823324||1040823324|0|0
|1|10035918|0|0|3/31/2023|1041246073||1041246073|0|0
|1|10035918|0|0|3/31/2023|1041413170||1041413170|0|0
